Exit Trade Id,ticker,size,entry_date,entry_price,Entry Fees,exit_date,exit_price,Exit Fees,pnl,return_pct,Direction,Status,Position Id,exit_reason
229,HD,8.3284991682276,2023-09-01,312.14099208520145,0.0,2023-09-15,307.4334043513696,0.0,-39.20714052557696,-0.015081606880223117,Long,Closed,229,trailing_sma
47,INTC,57.77637153921376,2023-09-05,35.99625139057966,0.0,2023-09-20,35.60637249311789,0.0,-22.525788035050027,-0.010831097194853985,Long,Closed,47,trailing_sma
68,ORCL,18.507566835779663,2023-09-08,120.95049624226607,0.0,2023-09-12,108.56856585078765,0.0,-229.15940427625833,-0.10237188582242099,Long,Closed,68,hard_stop
61,NOW,21.154463881244737,2023-09-11,120.76034694671631,0.0,2023-09-19,115.81206774520875,0.0,-104.67819364260595,-0.04097602670594264,Long,Closed,61,trailing_sma
331,XOM,28.56135800907317,2023-09-14,107.98920987793059,0.0,2023-10-04,104.66914328848175,0.0,-94.82561047521085,-0.030744428940648733,Long,Closed,331,trailing_sma
150,AMGN,14.226792929116751,2023-09-19,243.87330413465315,0.0,2023-10-25,254.6935071101369,0.0,153.93678718322008,0.044368132108094246,Long,Closed,150,regime_stop
338,CVX,28.280209624360097,2023-09-27,152.15951278753343,0.0,2023-10-06,147.4661345448711,0.0,-132.72972054890124,-0.030845118761755483,Long,Closed,338,trailing_sma
113,UNH,10.995425483996515,2023-10-06,491.0100084870599,0.0,2023-10-25,500.79602564281015,0.0,107.60142242116308,0.019930382245982512,Long,Closed,113,regime_stop
19,GOOGL,37.92288506616955,2023-10-09,135.8853842123537,0.0,2023-10-25,126.30251220703126,0.0,-363.4101536616563,-0.07052172726940877,Long,Closed,19,regime_stop
26,META,12.856592305070311,2023-10-11,320.6551587157416,0.0,2023-10-25,299.2460595703125,0.0,-275.2480593316109,-0.06676673854609053,Long,Closed,26,regime_stop
346,COP,28.623424576449253,2023-10-13,115.22122756807613,0.0,2023-10-25,110.90302687186515,0.0,-123.60169193396587,-0.037477475178431564,Long,Closed,346,regime_stop
266,WMT,127.96121309660673,2023-11-02,53.34976978730812,0.0,2023-11-16,51.47104733503372,0.0,-240.40360406486434,-0.03521519323821617,Long,Closed,266,trailing_sma
62,NOW,45.444668608049426,2023-11-03,120.17605531311034,0.0,2024-03-05,153.169379196167,0.0,1499.3706701435522,0.2745415781629281,Long,Closed,62,trailing_sma
354,LIN,11.557612270645805,2023-11-03,378.02694054361126,0.0,2024-01-22,390.2556833364839,0.0,141.33506775747628,0.032348865864658835,Long,Closed,354,trailing_sma
6,MSFT,9.907951329740202,2023-11-07,352.7743454731804,0.0,2024-04-15,419.94114964089914,0.0,665.485426667949,0.19039594298623713,Long,Closed,6,trailing_sma
48,INTC,74.06512001880824,2023-11-07,37.753490921952256,0.0,2024-01-26,43.57432405730202,0.0,431.1207047791363,0.1541799974837603,Long,Closed,48,trailing_sma
76,IBM,10.37477525718742,2023-11-10,137.9946056349535,0.0,2024-04-04,181.15703035942025,0.0,447.80045607161196,0.3127834202348983,Long,Closed,76,trailing_sma
34,AVGO,19.977680969968343,2023-11-10,89.57890447338542,0.0,2024-03-19,118.69380381286938,0.0,581.6481704769524,0.3250195959712167,Long,Closed,34,trailing_sma
27,META,7.043200702358372,2023-11-10,317.60751447302476,0.0,2023-12-06,319.2635962173429,0.0,11.664116104744608,0.005214239804955322,Long,Closed,27,trailing_sma
217,AMZN,6.315906411668544,2023-11-14,145.0725,0.0,2024-04-19,178.6506354904175,0.0,212.07636123580312,0.231457619400076,Long,Closed,217,trailing_sma
92,AMAT,7.640370794201879,2023-11-14,149.9050827484248,0.0,2024-01-04,146.9093742171084,0.0,-22.88832397061128,-0.01998403574042846,Long,Closed,92,trailing_sma
391,NFLX,42.9791602619711,2023-11-22,47.70384030532836,0.0,2024-04-19,56.759604200363164,0.0,389.2091277392724,0.18983301631636776,Long,Closed,391,trailing_sma
105,LRCX,23.465799569885654,2023-11-27,69.89818493891363,0.0,2024-04-17,93.23209564128615,0.0,547.5488717234837,0.33382713331919595,Long,Closed,105,trailing_sma
57,CRM,5.3433960922224095,2023-11-30,245.56918779991148,0.0,2024-04-04,304.0445279543596,0.0,312.4569040726542,0.2381216498630664,Long,Closed,57,trailing_sma
309,GE,10.958555020728358,2023-12-01,95.7917123911517,0.0,2024-06-13,158.6050988522321,0.0,688.3439515720231,0.6557288192593419,Long,Closed,309,trailing_sma
165,JPM,5.679260785862081,2023-12-04,147.86977254243172,0.0,2024-04-12,180.45006340581563,0.0,185.03196829239687,0.22033097301231652,Long,Closed,165,trailing_sma
52,QCOM,5.457909895487271,2023-12-05,123.09342099017604,0.0,2024-04-18,155.44879272959716,0.0,176.59270358875563,0.26285216122154365,Long,Closed,52,trailing_sma
208,USB,27.684904621776216,2023-12-08,35.658196078447716,0.0,2024-02-01,37.65434562054221,0.0,55.263209683688274,0.055980104481532955,Long,Closed,208,trailing_sma
43,AMD,6.045958490585872,2023-12-11,130.62527755737304,0.0,2024-03-25,172.81354389953614,0.0,255.06850709449918,0.3229716876477697,Long,Closed,43,trailing_sma
1,AAPL,3.270533910297863,2023-12-13,193.18069222800608,0.0,2024-01-02,185.13316431856595,0.0,-26.31971292189246,-0.04165803433368931,Long,Closed,1,trailing_sma
362,ECL,2.658992123856733,2023-12-13,190.08826662641152,0.0,2024-02-05,192.04266501282353,0.0,5.196729916347863,0.010281530896660125,Long,Closed,362,trailing_sma
230,HD,1.226844050154133,2023-12-15,329.5892114299001,0.0,2024-04-02,346.71468089212465,0.0,21.010280315826492,0.051960042587337385,Long,Closed,230,trailing_sma
28,META,0.9655661932822576,2023-12-18,335.019652387157,0.0,2024-04-19,499.1645776536321,0.0,158.49279063615103,0.48995610883383395,Long,Closed,28,trailing_sma
382,AMT,1.3098978648275879,2023-12-21,197.56267056609954,0.0,2024-01-18,191.70007026762596,0.0,-7.679407613308115,-0.029674635808853857,Long,Closed,382,trailing_sma
